zip,lat,lng,city,state_id,population,county_name,timezone
64137,38.93196,-94.54287,Kansas City,MO,10004,Jackson,America/Chicago
73116,35.54684,-97.56519,Oklahoma City,OK,10016,Oklahoma,America/Chicago
66007,39.1405,-94.94548,Basehor,KS,10060,Leavenworth,America/Chicago
76249,33.27993,-97.3026,Krum,TX,10069,Denton,America/Chicago
73051,35.03175,-97.24629,Lexington,OK,10079,Cleveland,America/Chicago
71852,33.99489,-93.85831,Nashville,AR,10088,Howard,America/Chicago
66618,39.14188,-95.74997,Topeka,KS,10113,Shawnee,America/Chicago
72173,35.10001,-92.20807,Vilonia,AR,10122,Faulkner,America/Chicago
74126,36.23502,-96.0331,Tulsa,OK,10144,Osage,America/Chicago
67410,38.95632,-97.22104,Abilene,KS,10177,Dickinson,America/Chicago
66606,39.06191,-95.72296,Topeka,KS,10177,Shawnee,America/Chicago
71832,34.0397,-94.34791,De Queen,AR,10178,Sevier,America/Chicago
64108,39.08413,-94.58449,Kansas City,MO,10179,Jackson,America/Chicago
76078,33.0896,-97.46647,Rhome,TX,10200,Wise,America/Chicago
63348,38.78969,-90.94131,Foristell,MO,10207,St. Charles,America/Chicago
72740,36.10889,-93.67599,Huntsville,AR,10226,Madison,America/Chicago
75650,32.51529,-94.55358,Hallsville,TX,10233,Harrison,America/Chicago
75135,33.06666,-96.22567,Caddo Mills,TX,10265,Hunt,America/Chicago
64109,39.06646,-94.56709,Kansas City,MO,10274,Jackson,America/Chicago
64504,39.68605,-94.91264,Saint Joseph,MO,10286,Buchanan,America/Chicago
73080,35.00725,-97.452,Purcell,OK,10289,McClain,America/Chicago
62258,38.46014,-89.77287,Mascoutah,IL,10292,St. Clair,America/Chicago
66012,39.06091,-94.91658,Bonner Springs,KS,10301,Leavenworth,America/Chicago
74010,35.80945,-96.36101,Bristow,OK,10328,Creek,America/Chicago
64501,39.76584,-94.84448,Saint Joseph,MO,10354,Buchanan,America/Chicago
71635,33.1369,-92.00133,Crossett,AR,10368,Ashley,America/Chicago
74525,34.33441,-96.05563,Atoka,OK,10420,Atoka,America/Chicago
72753,35.93477,-94.32607,Prairie Grove,AR,10425,Washington,America/Chicago
66111,39.08529,-94.79621,Kansas City,KS,10449,Wyandotte,America/Chicago
72114,34.7645,-92.26024,North Little Rock,AR,10451,Pulaski,America/Chicago
75495,33.43246,-96.55041,Van Alstyne,TX,10451,Grayson,America/Chicago
64834,37.18714,-94.56865,Carl Junction,MO,10476,Jasper,America/Chicago
63044,38.77455,-90.42825,Bridgeton,MO,10510,St. Louis,America/Chicago
75645,32.68375,-94.87317,Gilmer,TX,10511,Upshur,America/Chicago
62712,39.74883,-89.58344,Springfield,IL,10555,Sangamon,America/Chicago
75442,33.17717,-96.35035,Farmersville,TX,10567,Collin,America/Chicago
74132,36.04869,-96.01315,Tulsa,OK,10629,Tulsa,America/Chicago
64106,39.10526,-94.57013,Kansas City,MO,10666,Jackson,America/Chicago
72207,34.77493,-92.34271,Little Rock,AR,10735,Pulaski,America/Chicago
75551,33.11648,-94.20325,Atlanta,TX,10768,Cass,America/Chicago
62095,38.86307,-90.07545,Wood River,IL,10780,Madison,America/Chicago
66043,39.24967,-94.90193,Lansing,KS,10821,Leavenworth,America/Chicago
65233,38.91528,-92.72035,Boonville,MO,10853,Cooper,America/Chicago
63390,38.80499,-91.0413,Wright City,MO,10856,Warren,America/Chicago
38058,35.45861,-89.81933,Munford,TN,10900,Tipton,America/Chicago
66720,37.64631,-95.459,Chanute,KS,10913,Neosho,America/Chicago
65584,37.82901,-92.13086,Saint Robert,MO,10922,Pulaski,America/Chicago
64124,39.10718,-94.5391,Kansas City,MO,10924,Jackson,America/Chicago
66086,39.11578,-95.08043,Tonganoxie,KS,10935,Leavenworth,America/Chicago
67337,37.05486,-95.5993,Coffeyville,KS,10944,Montgomery,America/Chicago
63012,38.33532,-90.44832,Barnhart,MO,10977,Jefferson,America/Chicago
63124,38.63832,-90.38023,Saint Louis,MO,11009,St. Louis,America/Chicago
72110,35.15514,-92.77273,Morrilton,AR,11016,Conway,America/Chicago
76273,33.74794,-96.93935,Whitesboro,TX,11019,Grayson,America/Chicago
65355,38.22137,-93.37144,Warsaw,MO,11029,Benton,America/Chicago
74873,35.22396,-96.97975,Tecumseh,OK,11033,Pottawatomie,America/Chicago
72616,36.35047,-93.55736,Berryville,AR,11046,Carroll,America/Chicago
75570,33.4649,-94.4389,New Boston,TX,11047,Bowie,America/Chicago
76426,33.16493,-97.83772,Bridgeport,TX,11065,Wise,America/Chicago
72730,36.03057,-94.26588,Farmington,AR,11068,Washington,America/Chicago
66701,37.82862,-94.75999,Fort Scott,KS,11075,Bourbon,America/Chicago
76085,32.84907,-97.70051,Weatherford,TX,11083,Parker,America/Chicago
72916,35.27236,-94.37256,Fort Smith,AR,11087,Sebastian,America/Chicago
72112,35.57383,-91.22918,Newport,AR,11092,Jackson,America/Chicago
74301,36.68157,-95.23687,Vinita,OK,11126,Craig,America/Chicago
64123,39.11436,-94.52167,Kansas City,MO,11130,Jackson,America/Chicago
73026,35.23433,-97.2791,Norman,OK,11131,Cleveland,America/Chicago
73065,35.25008,-97.61209,Newcastle,OK,11136,McClain,America/Chicago
62010,38.91944,-90.04789,Bethalto,IL,11154,Madison,America/Chicago
74851,35.42653,-97.08072,Mcloud,OK,11161,Pottawatomie,America/Chicago
74728,34.15411,-94.81959,Broken Bow,OK,11177,McCurtain,America/Chicago
67147,37.86062,-97.3058,Valley Center,KS,11193,Sedgwick,America/Chicago
73111,35.51889,-97.47722,Oklahoma City,OK,11216,Oklahoma,America/Chicago
65809,37.17071,-93.1936,Springfield,MO,11228,Greene,America/Chicago
66085,38.80069,-94.64729,Stilwell,KS,11412,Johnson,America/Chicago
63077,38.32648,-90.98537,Saint Clair,MO,11466,Franklin,America/Chicago
63645,37.54204,-90.32428,Fredericktown,MO,11514,Madison,America/Chicago
73045,35.51201,-97.1414,Harrah,OK,11542,Oklahoma,America/Chicago
75428,33.27132,-95.91799,Commerce,TX,11587,Hunt,America/Chicago
63113,38.65797,-90.2475,Saint Louis,MO,11610,St. Louis,America/Chicago
65605,36.88408,-93.69132,Aurora,MO,11611,Barry,America/Chicago
65026,38.32105,-92.57099,Eldon,MO,11648,Miller,America/Chicago
75462,33.62166,-95.48362,Paris,TX,11651,Lamar,America/Chicago
75494,32.90898,-95.26126,Winnsboro,TX,11685,Wood,America/Chicago
38004,35.41909,-89.76687,Atoka,TN,11696,Tipton,America/Chicago
64132,38.98551,-94.5396,Kansas City,MO,11775,Jackson,America/Chicago
76102,32.75799,-97.32858,Fort Worth,TX,11783,Tarrant,America/Chicago
67357,37.33951,-95.25261,Parsons,KS,11786,Labette,America/Chicago
72227,34.7782,-92.37498,Little Rock,AR,11800,Pulaski,America/Chicago
64429,39.73895,-94.2285,Cameron,MO,11815,DeKalb,America/Chicago
67230,37.68655,-97.17087,Wichita,KS,11822,Sedgwick,America/Chicago
76054,32.85904,-97.17789,Hurst,TX,11840,Tarrant,America/Chicago
75223,32.79255,-96.74556,Dallas,TX,11875,Dallas,America/Chicago
64503,39.74973,-94.84545,Saint Joseph,MO,11921,Buchanan,America/Chicago
74948,35.46207,-94.56284,Muldrow,OK,11946,Sequoyah,America/Chicago
63857,36.22402,-90.04612,Kennett,MO,11964,Dunklin,America/Chicago
74960,35.80995,-94.65027,Stilwell,OK,11964,Adair,America/Chicago
64075,38.99751,-94.14544,Oak Grove,MO,11979,Jackson,America/Chicago
73068,35.1384,-97.28264,Noble,OK,12003,Cleveland,America/Chicago
66206,38.95851,-94.61923,Leawood,KS,12030,Johnson,America/Chicago
67219,37.76931,-97.31643,Wichita,KS,12093,Sedgwick,America/Chicago
74023,35.95708,-96.74963,Cushing,OK,12097,Payne,America/Chicago
64601,39.8044,-93.57334,Chillicothe,MO,12110,Livingston,America/Chicago
66224,38.86213,-94.62866,Overland Park,KS,12184,Johnson,America/Chicago
72086,34.80418,-91.90619,Lonoke,AR,12250,Lonoke,America/Chicago
66214,38.96356,-94.71397,Overland Park,KS,12261,Johnson,America/Chicago
74953,35.03931,-94.57156,Poteau,OK,12284,Le Flore,America/Chicago
63670,37.89667,-90.16245,Sainte Genevieve,MO,12294,Ste. Genevieve,America/Chicago
38060,35.21214,-89.50468,Oakland,TN,12360,Fayette,America/Chicago
74604,36.69672,-96.98132,Ponca City,OK,12369,Kay,America/Chicago
66071,38.57367,-94.86575,Paola,KS,12425,Miami,America/Chicago
74104,36.14627,-95.9542,Tulsa,OK,12434,Tulsa,America/Chicago
64113,39.01414,-94.5956,Kansas City,MO,12442,Jackson,America/Chicago
64128,39.06555,-94.53484,Kansas City,MO,12445,Jackson,America/Chicago
74868,35.26699,-96.64193,Seminole,OK,12451,Seminole,America/Chicago
66101,39.11871,-94.62592,Kansas City,KS,12463,Wyandotte,America/Chicago
72150,34.30999,-92.39642,Sheridan,AR,12476,Grant,America/Chicago
62052,39.11179,-90.32004,Jerseyville,IL,12483,Jersey,America/Chicago
63051,38.39886,-90.57303,House Springs,MO,12589,Jefferson,America/Chicago
72543,35.45528,-91.99407,Heber Springs,AR,12642,Cleburne,America/Chicago
73122,35.5202,-97.61391,Oklahoma City,OK,12689,Oklahoma,America/Chicago
65708,36.91048,-93.90899,Monett,MO,12690,Barry,America/Chicago
75644,32.79171,-94.99498,Gilmer,TX,12785,Upshur,America/Chicago
73078,35.66867,-97.75304,Piedmont,OK,12807,Canadian,America/Chicago
72921,35.46953,-94.19686,Alma,AR,12827,Crawford,America/Chicago
66083,38.73518,-94.83397,Spring Hill,KS,12832,Miami,America/Chicago
66103,39.06045,-94.62707,Kansas City,KS,12841,Wyandotte,America/Chicago
72396,35.22966,-90.83559,Wynne,AR,12854,Cross,America/Chicago
64772,37.82712,-94.33355,Nevada,MO,12930,Vernon,America/Chicago
66112,39.11494,-94.7701,Kansas City,KS,12968,Wyandotte,America/Chicago
67301,37.21092,-95.75224,Independence,KS,12996,Montgomery,America/Chicago
73106,35.4823,-97.53662,Oklahoma City,OK,13019,Oklahoma,America/Chicago
75065,33.11108,-97.01277,Lake Dallas,TX,13046,Denton,America/Chicago
75244,32.92544,-96.83671,Dallas,TX,13105,Dallas,America/Chicago
64154,39.27653,-94.62967,Kansas City,MO,13114,Platte,America/Chicago
76164,32.7808,-97.35411,Fort Worth,TX,13134,Tarrant,America/Chicago
62206,38.56796,-90.16981,East Saint Louis,IL,13155,St. Clair,America/Chicago
66002,39.5488,-95.13881,Atchison,KS,13197,Atchison,America/Chicago
38120,35.12344,-89.85237,Memphis,TN,13249,Shelby,America/Chicago
63841,36.77198,-89.98169,Dexter,MO,13319,Stoddard,America/Chicago
74033,35.94711,-96.00636,Glenpool,OK,13371,Tulsa,America/Chicago
72212,34.78498,-92.4141,Little Rock,AR,13400,Pulaski,America/Chicago
66219,38.95124,-94.77807,Lenexa,KS,13410,Johnson,America/Chicago
71953,34.61291,-94.2118,Mena,AR,13412,Polk,America/Chicago
75686,32.96921,-94.94697,Pittsburg,TX,13427,Camp,America/Chicago
75647,32.5167,-94.96429,Gladewater,TX,13457,Gregg,America/Chicago
63134,38.74319,-90.34549,Saint Louis,MO,13460,St. Louis,America/Chicago
63080,38.20828,-91.08802,Sullivan,MO,13529,Franklin,America/Chicago
72455,36.3229,-91.04909,Pocahontas,AR,13572,Randolph,America/Chicago
64735,38.36612,-93.73644,Clinton,MO,13572,Henry,America/Chicago
67010,37.66099,-96.97388,Augusta,KS,13576,Butler,America/Chicago
74128,36.1472,-95.85089,Tulsa,OK,13586,Tulsa,America/Chicago
67209,37.6639,-97.43463,Wichita,KS,13613,Sedgwick,America/Chicago
65560,37.59609,-91.49943,Salem,MO,13634,Dent,America/Chicago
72012,35.10199,-91.91789,Beebe,AR,13663,White,America/Chicago
66205,39.03122,-94.6307,Mission,KS,13728,Johnson,America/Chicago
65742,37.12543,-93.08001,Rogersville,MO,13747,Greene,America/Chicago
76022,32.83063,-97.14506,Bedford,TX,13790,Tarrant,America/Chicago
64505,39.84431,-94.83354,Saint Joseph,MO,13875,Andrew,America/Chicago
71655,33.62874,-91.7486,Monticello,AR,13892,Drew,America/Chicago
63132,38.67607,-90.37745,Saint Louis,MO,13953,St. Louis,America/Chicago
73089,35.2661,-97.79638,Tuttle,OK,13977,Grady,America/Chicago
71601,34.17409,-91.89811,Pine Bluff,AR,13981,Jefferson,America/Chicago
72908,35.30595,-94.4099,Fort Smith,AR,14003,Sebastian,America/Chicago
67060,37.54601,-97.35952,Haysville,KS,14004,Sedgwick,America/Chicago
38103,35.15308,-90.05518,Memphis,TN,14025,Shelby,America/Chicago
65806,37.20567,-93.29847,Springfield,MO,14049,Greene,America/Chicago
64089,39.39007,-94.56483,Smithville,MO,14060,Clay,America/Chicago
64079,39.36267,-94.79351,Platte City,MO,14092,Platte,America/Chicago
72714,36.46841,-94.21649,Bella Vista,AR,14108,Benton,America/Chicago
73118,35.51788,-97.53007,Oklahoma City,OK,14118,Oklahoma,America/Chicago
74003,36.73107,-96.06675,Bartlesville,OK,14128,Osage,America/Chicago
64507,39.73324,-94.75735,Saint Joseph,MO,14159,Buchanan,America/Chicago
72103,34.59133,-92.38316,Mabelvale,AR,14160,Saline,America/Chicago
74467,35.96681,-95.39181,Wagoner,OK,14166,Wagoner,America/Chicago
62236,38.43391,-90.21141,Columbia,IL,14175,Monroe,America/Chicago
72936,35.1896,-94.23069,Greenwood,AR,14182,Sebastian,America/Chicago
67156,37.25099,-96.96503,Winfield,KS,14183,Cowley,America/Chicago
63115,38.68211,-90.23994,Saint Louis,MO,14252,St. Louis,America/Chicago
38107,35.17054,-90.02397,Memphis,TN,14254,Shelby,America/Chicago
74955,35.50213,-94.75547,Sallisaw,OK,14299,Sequoyah,America/Chicago
75773,32.67969,-95.44654,Mineola,TX,14311,Wood,America/Chicago
72117,34.78076,-92.14548,North Little Rock,AR,14339,Pulaski,America/Chicago
75209,32.8487,-96.8257,Dallas,TX,14359,Dallas,America/Chicago
71923,34.08424,-93.05551,Arkadelphia,AR,14374,Clark,America/Chicago
64080,38.7691,-94.25639,Pleasant Hill,MO,14383,Cass,America/Chicago
74344,36.59604,-94.73845,Grove,OK,14386,Delaware,America/Chicago
64701,38.62053,-94.3378,Harrisonville,MO,14462,Cass,America/Chicago
65583,37.82171,-92.2541,Waynesville,MO,14462,Pulaski,America/Chicago
64057,39.0692,-94.32203,Independence,MO,14509,Jackson,America/Chicago
62034,38.75639,-89.96897,Glen Carbon,IL,14519,Madison,America/Chicago
72745,36.2477,-94.10046,Lowell,AR,14521,Benton,America/Chicago
72210,34.71506,-92.50378,Little Rock,AR,14544,Pulaski,America/Chicago
65020,38.00517,-92.78193,Camdenton,MO,14635,Camden,America/Chicago
75418,33.57235,-96.1773,Bonham,TX,14685,Fannin,America/Chicago
63069,38.48286,-90.7292,Pacific,MO,14760,Franklin,America/Chicago
67220,37.75191,-97.27909,Wichita,KS,14779,Sedgwick,America/Chicago
64117,39.16522,-94.52251,Kansas City,MO,14800,Clay,America/Chicago
71801,33.63306,-93.59833,Hope,AR,14907,Hempstead,America/Chicago
65265,39.20531,-91.88728,Mexico,MO,15131,Audrain,America/Chicago
66207,38.95625,-94.64439,Overland Park,KS,15149,Johnson,America/Chicago
74070,36.3881,-96.07253,Skiatook,OK,15169,Osage,America/Chicago
74110,36.18856,-95.95377,Tulsa,OK,15185,Tulsa,America/Chicago
73108,35.45034,-97.56774,Oklahoma City,OK,15239,Oklahoma,America/Chicago
62294,38.70374,-89.87242,Troy,IL,15246,Madison,America/Chicago
65473,37.71215,-92.14811,Fort Leonard Wood,MO,15322,Pulaski,America/Chicago
67005,37.06722,-96.99645,Arkansas City,KS,15336,Cowley,America/Chicago
62629,39.67858,-89.71978,Chatham,IL,15369,Sangamon,America/Chicago
